City;Area;Region;Branch;Branch Mapping;Validation
KOTA B A T A M;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KOTA BALIKPAPAN;AREA 4;11.KALIMANTAN;BALIKPAPAN;BALIKPAPAN;TRUE
KOTA BANDA ACEH;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
KOTA BANDAR LAMPUNG;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
KOTA BANDUNG;AREA 2;07.JABAR;BANDUNG;BANDUNG;TRUE
KOTA BANJAR;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
KOTA BANJAR BARU;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
KOTA BANJARMASIN;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
KOTA BARU;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
KOTA BATU;AREA 3;09.JATIM;MALANG;MALANG;TRUE
KOTA BAUBAU;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KOTA BEKASI;AREA 2;06.EASTERN JABOTABEK;BEKASI;BEKASI;TRUE
KOTA BEKASI;AREA 2;06.EASTERN JABOTABEK;KARAWANG;BEKASI;FALSE
KOTA BENGKULU;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
KOTA BIMA;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
KOTA BINJAI;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
KOTA BITUNG;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KOTA BLITAR;AREA 3;09.JATIM;MALANG;MALANG;TRUE
KOTA BOGOR;AREA 2;06.EASTERN JABOTABEK;BOGOR;BOGOR;TRUE
KOTA BONTANG;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
KOTA BUKIT TINGGI;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
KOTA CILEGON;AREA 2;05.WESTERN JABOTABEK;SERANG;SERANG;TRUE
KOTA CIMAHI;AREA 2;07.JABAR;SOREANG;SOREANG;TRUE
KOTA CIREBON;AREA 2;07.JABAR;CIREBON;CIREBON;TRUE
KOTA DENPASAR;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
KOTA DEPOK;AREA 2;06.EASTERN JABOTABEK;BEKASI;BEKASI;TRUE
KOTA DEPOK;AREA 2;06.EASTERN JABOTABEK;BOGOR;BEKASI;FALSE
KOTA DUMAI;AREA 1;02.SUMBAGTENG;DUMAI;DUMAI;TRUE
KOTA GORONTALO;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
KOTA JAMBI;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
KOTA JAYAPURA;AREA 4;13.MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;TRUE
KOTA KEDIRI;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
KOTA KENDARI;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
KOTA KOTAMOBAGU;AREA 4;12.SULAWESI;GORONTALO;GORONTALO;TRUE
