id;AREA;REGIONAL;BRANCH;CLUSTER;CITY
356;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;MAMUJU TENGAH
357;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;KEPULAUAN SANGIHE
358;PAMASUKA;SULAWESI;MANADO;MANADO RAYA;MINAHASA UTARA
359;PAMASUKA;SULAWESI;KENDARI;KENDARI;KOLAKA TIMUR
360;PAMASUKA;SULAWESI;KENDARI;KENDARI;KONAWE KEPULAUAN
361;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;POHUWATO
362;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;MAMUJU UTARA
363;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;KOTA TOMOHON
364;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;POSO
365;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;TOJO UNA-UNA
366;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;MALUKU TENGGARA
367;PAMASUKA;SULAWESI;MAKASSAR;BONE BULUKUMBA;BULUKUMBA
368;PAMASUKA;SULAWESI;MAKASSAR;BARRU MAROS;PANGKAJENE DAN KEPULAUAN
369;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOLAANG MONGONDOW UTARA
370;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;WAJO
371;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;LUWU UTARA
372;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;PARIGI MOUTONG
373;PAMASUKA;SULAWESI;MAKASSAR;BONE BULUKUMBA;BANTAENG
374;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;SIDENRENG RAPPANG
375;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;TANA TORAJA
376;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;BUTON
377;PAMASUKA;SULAWESI;KENDARI;KENDARI;KONAWE SELATAN
378;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;BUTON UTARA
379;PAMASUKA;SULAWESI;KENDARI;KENDARI;KONAWE UTARA
380;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;KOTA BAUBAU
381;SUMATERA;SUMBAGUT;PEMATANG SIANTAR;SIANTAR;BATU BARA
382;JABOTABEK & JABAR;JABAR;CIREBON;CIREBON;KOTA CIREBON
383;SUMATERA;SUMBAGTENG;PADANG;SOLOK SRAYA;SIJUNJUNG
384;PAMASUKA;MALUKU DAN PAPUA;AMBON;AMBON NAMLEA;BURU SELATAN
385;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;KEPULAUAN TALAUD
386;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;MINAHASA TENGGARA
387;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;BANGGAI
388;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BUOL
389;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;TOLI-TOLI
390;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;MOROWALI UTARA
391;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;ENREKANG
392;PAMASUKA;SULAWESI;MAKASSAR;GOWA;GOWA
393;PAMASUKA;SULAWESI;MAKASSAR;BONE BULUKUMBA;BONE
394;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;LUWU
395;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;LUWU TIMUR
396;PAMASUKA;SULAWESI;KENDARI;KENDARI;KONAWE
397;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;TORAJA UTARA
398;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;BOMBANA
399;SUMATERA;SUMBAGTENG;PADANG;BUKIT TINGGI;KOTA PADANG PANJANG
400;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;DONGGALA
401;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;BANGGAI LAUT
402;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;MAMASA
403;PAMASUKA;SULAWESI;MANADO;MINAHASA TALAUD;MINAHASA SELATAN
404;PAMASUKA;SULAWESI;KENDARI;KENDARI;KOTA KENDARI
405;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;MAJENE
406;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;MALUKU BARAT DAYA
407;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;SIGI
408;PAMASUKA;SULAWESI;MAKASSAR;GOWA;TAKALAR
409;PAMASUKA;SULAWESI;KENDARI;KENDARI;KOLAKA UTARA
410;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;GORONTALO
411;PAMASUKA;SULAWESI;PALU;PALU MAMUJU;MAMUJU
412;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;KOTA GORONTALO
413;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;MOROWALI
414;SUMATERA;SUMBAGTENG;PADANG;SOLOK SRAYA;KOTA SAWAH LUNTO
415;PAMASUKA;SULAWESI;MAKASSAR;KOTA MAKASSAR;KOTA MAKASSAR
416;PAMASUKA;SULAWESI;PARE-PARE;PARE MAJENE;KOTA PARE-PARE
417;PAMASUKA;SULAWESI;MANADO;MANADO RAYA;KOTA MANADO
418;PAMASUKA;SULAWESI;MANADO;MANADO RAYA;KOTA BITUNG
419;PAMASUKA;SULAWESI;MAKASSAR;BONE BULUKUMBA;KEPULAUAN SELAYAR
420;PAMASUKA;SULAWESI;MAKASSAR;BARRU MAROS;MAROS
421;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;GORONTALO UTARA
422;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;KEPULAUAN ARU
423;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN SERAM;SERAM BAGIAN BARAT
424;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN SERAM;SERAM BAGIAN TIMUR
425;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;KOLAKA
426;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;MALUKU TENGGARA BARAT
427;PAMASUKA;SULAWESI;KENDARI;WAKATOBI;BUTON SELATAN
428;PAMASUKA;SULAWESI;PARE-PARE;EWAKO;KOTA PALOPO
429;SUMATERA;SUMBAGTENG;PADANG;SOLOK SRAYA;KOTA SOLOK
